Fecha,Concepto,Cargos
04/01/16,ANTERIOR FATURA SERVICIOS,$498.80
04/01/16,ANTERIOR FATURA SERVICIOS,$541.72
04/01/16,ANTERIOR FATURA SERVICIOS,"$17,748.00"
07/01/16,ANTERIOR FATURA SERVICIOS,"$4,048.40"
07/01/16,ANTERIOR FATURA SERVICIOS,"$21,518.00"
07/01/16,ANTERIOR FATURA SERVICIOS,"$3,967.20"
07/01/16,ANTERIOR FATURA SERVICIOS,"$1,798.00"
07/01/16,ANTERIOR FATURA SERVICIOS,"$7,424.00"
07/01/16,ANTERIOR FATURA SERVICIOS,"$8,212.80"
07/01/16,ANTERIOR FATURA SERVICIOS,$348.00
07/01/16,ANTERIOR FATURA SERVICIOS,"$1,988.61"
07/01/16,ANTERIOR FATURA SERVICIOS,$631.98
07/01/16,ANTERIOR FATURA SERVICIOS,"$2,934.80"
07/01/16,ANTERIOR FATURA SERVICIOS,"$2,262.00"
07/01/16,ANTERIOR FATURA SERVICIOS,"$5,367.63"
07/01/16,ANTERIOR FATURA SERVICIOS,"$4,099.44"
07/01/16,ANTERIOR FATURA SERVICIOS,"$3,074.00"
08/01/16,ANTERIOR FATURA SERVICIOS,$435.00
08/01/16,ANTERIOR FATURA SERVICIOS,$139.20
08/01/16,ANTERIOR FATURA SERVICIOS,"$168,374.00"
08/01/16,ANTERIOR FATURA SERVICIOS,$278.40
08/01/16,ANTERIOR FATURA SERVICIOS,$663.52
08/01/16,ANTERIOR FATURA SERVICIOS,$256.36
08/01/16,ANTERIOR FATURA SERVICIOS,"$2,540.40"
08/01/16,ANTERIOR FATURA SERVICIOS,"$3,688.80"
08/01/16,ANTERIOR FATURA SERVICIOS,"$3,538.00"
08/01/16,ANTERIOR FATURA SERVICIOS,"$1,600.80"
08/01/16,ANTERIOR FATURA SERVICIOS,$348.00
08/01/16,ANTERIOR FATURA SERVICIOS,$844.48
08/01/16,ANTERIOR FATURA SERVICIOS,"$19,604.00"
08/01/16,ANTERIOR FATURA SERVICIOS,"$3,398.80"
11/01/16,ANTERIOR FATURA SERVICIOS,$915.99
11/01/16,ANTERIOR FACTURA VENTAS,"$4,353.48"
11/01/16,ANTERIOR FACTURA VENTAS,$116.00
11/01/16,ANTERIOR FACTURA VENTAS,$904.80
11/01/16,ANTERIOR FACTURA VENTAS,"$26,506.00"
11/01/16,ANTERIOR FATURA SERVICIOS,"$3,306.00"
12/01/16,ANTERIOR FATURA SERVICIOS,"$3,155.20"
12/01/16,ANTERIOR FATURA SERVICIOS,"$2,238.80"
12/01/16,ANTERIOR FATURA SERVICIOS,"$8,328.80"
12/01/16,ANTERIOR FATURA SERVICIOS,"$1,175.08"
12/01/16,ANTERIOR FATURA SERVICIOS,"$2,262.00"
12/01/16,ANTERIOR FATURA SERVICIOS,"$5,092.40"
13/01/16,ANTERIOR FATURA SERVICIOS,"$13,207.64"
13/01/16,ANTERIOR FATURA SERVICIOS,"$4,223.95"
13/01/16,ANTERIOR FATURA SERVICIOS,"$26,573.28"
13/01/16,ANTERIOR FATURA SERVICIOS,"$3,779.94"
13/01/16,ANTERIOR FATURA SERVICIOS,"$3,728.61"
13/01/16,ANTERIOR FATURA SERVICIOS,"$7,935.18"
13/01/16,ANTERIOR FATURA SERVICIOS,"$9,614.08"
13/01/16,ANTERIOR FATURA SERVICIOS,"$47,171.12"
13/01/16,ANTERIOR FATURA SERVICIOS,"$1,180.80"
14/01/16,ANTERIOR FACTURA VENTAS,$452.40
14/01/16,ANTERIOR FATURA SERVICIOS,"$3,462.60"
14/01/16,ANTERIOR FATURA SERVICIOS,"$2,267.80"
14/01/16,ANTERIOR FATURA SERVICIOS,"$7,605.89"
14/01/16,ANTERIOR FATURA SERVICIOS,"$1,324.66"
14/01/16,ANTERIOR FATURA SERVICIOS,"$28,884.00"
15/01/16,ANTERIOR FATURA SERVICIOS,$551.00
15/01/16,ANTERIOR FATURA SERVICIOS,"$2,577.52"
18/01/16,ANTERIOR FATURA SERVICIOS,"$40,623.20"
18/01/16,ANTERIOR FATURA SERVICIOS,"$2,627.40"
18/01/16,ANTERIOR FATURA SERVICIOS,"$47,259.56"
18/01/16,ANTERIOR FATURA SERVICIOS,"$2,741.08"
19/01/16,ANTERIOR FATURA SERVICIOS,"$4,002.00"
19/01/16,ANTERIOR FATURA SERVICIOS,"$1,218.00"
