Fecha,Cargos
2016-04-08,2507.92
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,2482.4
2016-04-12,47564.64000000001
2016-04-13,58044.22
2016-04-14,47453.51
2016-04-15,7480.25
2016-04-16,3781.6
2016-04-17,0.0
2016-04-18,96827.81
2016-04-19,71931.6
2016-04-20,180845.39
2016-04-21,33527.1
2016-04-22,80097.57
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,10467.84
2016-04-26,75878.76
2016-04-27,9060.76
2016-04-28,15091.6
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,2030.0
2016-05-04,11275.2
2016-05-05,6947.99
2016-05-06,427542.25
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,23879.3
2016-05-10,0.0
2016-05-11,12440.42
2016-05-12,16127.630000000001
2016-05-13,24592.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,51682.06
2016-05-17,142860.96000000002
2016-05-18,0.0
2016-05-19,10834.71
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,90488.29
2016-05-24,73268.18000000001
2016-05-25,0.0
2016-05-26,37513.81
2016-05-27,21007.6
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,19476.16
2016-05-31,3825.68
2016-06-01,21741.49
2016-06-02,31957.02
2016-06-03,11275.2
2016-06-04,8221.119999999999
2016-06-05,0.0
2016-06-06,13779.25
2016-06-07,32155.2
2016-06-08,63752.15
2016-06-09,116392.11
2016-06-10,5574.96
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,17998.56
2016-06-14,40351.27
2016-06-15,8883.28
2016-06-16,141906.78
2016-06-17,9496.07
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,17780.02
2016-06-21,0.0
2016-06-22,42514.0
2016-06-23,78134.68
2016-06-24,11337.84
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,13184.56
2016-06-28,488302.0
2016-06-29,0.0
2016-06-30,6513.4
2016-07-01,21313.18
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,115139.11
2016-07-05,38027.82
2016-07-06,30840.83
2016-07-07,30602.35
2016-07-08,202904.88
2016-07-09,15486.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,36642.2
2016-07-13,111727.02
2016-07-14,31717.93
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,21562.08
2016-07-20,28682.93
2016-07-21,6635.19
2016-07-22,16472.01
2016-07-23,18212.0
2016-07-24,0.0
2016-07-25,32060.35
2016-07-26,26994.94
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,106848.87
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,18954.49
2016-08-02,8282.18
2016-08-03,17393.04
2016-08-04,56219.83
2016-08-05,0.0
2016-08-06,5533.2
2016-08-07,0.0
2016-08-08,84675.95
2016-08-09,3944.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,114120.8
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,51843.27
2016-08-16,40195.88
2016-08-17,27743.67
2016-08-18,34278.229999999996
2016-08-19,43790.0
2016-08-20,8468.0
2016-08-21,0.0
2016-08-22,4477.6
2016-08-23,10971.279999999999
2016-08-24,188377.56
2016-08-25,67259.39
2016-08-26,293818.94
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,9925.57
2016-08-30,8197.07
2016-08-31,1029.02
2016-09-01,0.0
2016-09-02,11555.92
2016-09-03,9831.0
2016-09-04,0.0
2016-09-05,33304.42
2016-09-06,29788.8
2016-09-07,60624.39000000001
2016-09-08,18714.670000000002
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,20936.079999999998
2016-09-13,1029.02
2016-09-14,20008.04
2016-09-15,14748.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,13150.65
2016-09-20,27112.1
2016-09-21,14142.31
2016-09-22,122459.08
2016-09-23,221805.99
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,19968.48
2016-09-27,225348.67
2016-09-28,7377.6
2016-09-29,253832.97999999998
2016-09-30,193476.12
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,13253.2
2016-10-04,38675.44
2016-10-05,44814.479999999996
2016-10-06,23339.2
2016-10-07,2146.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,3306.0
2016-10-11,19268.36
2016-10-12,72291.32
2016-10-13,4314.04
2016-10-14,57691.68
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,1511.48
2016-10-18,24242.43
2016-10-19,6960.0
2016-10-20,36597.49
2016-10-21,20008.04
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,113518.15000000001
2016-10-25,28512.800000000003
2016-10-26,0.0
2016-10-27,2900.0
2016-10-28,63598.549999999996
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,60264.689999999995
2016-11-01,22944.8
2016-11-02,0.0
2016-11-03,1160.0
2016-11-04,3456.8
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,30867.510000000002
2016-11-08,16776.91
2016-11-09,42563.88
2016-11-10,139443.64
2016-11-11,9442.4
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,64399.72
2016-11-15,0.0
2016-11-16,51107.51
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,64869.86
2016-11-23,12586.36
2016-11-24,56068.8
2016-11-25,140665.03000000003
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,7724.8
2016-11-29,17806.0
2016-11-30,36019.62
2016-12-01,4060.0
2016-12-02,11467.15
2016-12-03,7540.0
2016-12-04,0.0
2016-12-05,56517.02
2016-12-06,151172.42
2016-12-07,301537.33
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,9007.630000000001
2016-12-14,36910.04
2016-12-15,24940.0
2016-12-16,0.0
2016-12-17,30738.65
2016-12-18,0.0
2016-12-19,204946.09
2016-12-20,11138.300000000001
2016-12-21,46046.97
2016-12-22,11342.48
2016-12-23,7377.6
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,212884.35
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,8433.2
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,61200.44
2017-01-07,18250.67
2017-01-08,0.0
2017-01-09,23976.79
2017-01-10,5883.52
2017-01-11,63379.69
2017-01-12,1218.0
2017-01-13,120010.67
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,87157.18
2017-01-17,160434.64
2017-01-18,300390.35
2017-01-19,0.0
2017-01-20,3619.2
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,16124.0
2017-01-24,3373.28
2017-01-25,4486.88
2017-01-26,197167.72
2017-01-27,0.0
2017-01-28,31877.379999999997
2017-01-29,0.0
2017-01-30,6041.67
2017-01-31,110116.48000000001
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,112463.70999999999
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,119198.7
2017-02-08,8816.0
2017-02-09,73697.49
2017-02-10,23459.58
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,321839.69999999995
2017-02-14,18523.0
2017-02-15,31185.86
2017-02-16,13361.66
2017-02-17,12679.26
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,37483.78
2017-02-21,9547.960000000001
2017-02-22,124046.0
2017-02-23,59402.25
2017-02-24,16857.12
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,21545.4
2017-02-28,23292.8
2017-03-01,86166.46
2017-03-02,119223.05999999998
2017-03-03,0.0
2017-03-04,3108.8
2017-03-05,0.0
2017-03-06,329302.08999999997
2017-03-07,0.0
2017-03-08,63377.94
2017-03-09,87348.0
2017-03-10,7465.56
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,6381.16
2017-03-14,18268.739999999998
2017-03-15,21908.05
2017-03-16,23130.98
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,112291.47
2017-03-22,75434.35
2017-03-23,62076.57
2017-03-24,0.0
2017-03-25,17169.1
2017-03-26,0.0
2017-03-27,196405.8
2017-03-28,24108.28
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,13394.49
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,8352.0
2017-04-04,74395.44
2017-04-05,88422.19
2017-04-06,241298.66
2017-04-07,45167.12
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,4826.53
2017-04-11,164277.90000000002
2017-04-12,43166.69
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,10718.4
2017-04-20,302381.7
2017-04-21,8642.0
2017-04-22,2765.5
2017-04-23,0.0
2017-04-24,12182.0
2017-04-25,357088.14999999997
2017-04-26,49885.87
2017-04-27,18809.4
2017-04-28,0.0
2017-04-29,88862.4
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,92141.8
2017-05-03,23894.7
2017-05-04,432464.34
2017-05-05,0.0
2017-05-06,4457.79
2017-05-07,0.0
2017-05-08,288364.22000000003
2017-05-09,58987.61
2017-05-10,0.0
2017-05-11,408.53
2017-05-12,0.0
2017-05-13,22272.0
2017-05-14,0.0
2017-05-15,3191.94
2017-05-16,94581.72
2017-05-17,8642.0
2017-05-18,10935.9
2017-05-19,37323.0
2017-05-20,6380.0
2017-05-21,0.0
2017-05-22,19548.08
2017-05-23,13415.41
2017-05-24,2669.58
2017-05-25,3278.94
2017-05-26,245628.9
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,7085.02
2017-05-30,111040.72
2017-05-31,33714.66
2017-06-01,4002.0
2017-06-02,0.0
2017-06-03,57652.25
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,47794.270000000004
2017-06-07,0.0
2017-06-08,79423.91
2017-06-09,131901.02000000002
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,111542.62000000001
2017-06-13,163732.88
2017-06-14,26134.88
2017-06-15,85453.21
2017-06-16,61825.68
2017-06-17,340631.41
2017-06-18,0.0
2017-06-19,6298.8
2017-06-20,20586.129999999997
2017-06-21,18209.27
2017-06-22,26244.7
2017-06-23,26612.82
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,13233.03
2017-06-27,60154.66
2017-06-28,41162.37
2017-06-29,5199.27
2017-06-30,67093.69
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,189077.4
2017-07-04,16437.2
2017-07-05,15765.07
2017-07-06,277340.48
2017-07-07,113280.59
2017-07-08,50310.13
2017-07-09,0.0
2017-07-10,35118.29
2017-07-11,33631.869999999995
2017-07-12,51689.93
2017-07-13,850.05
2017-07-14,78287.29000000001
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,15443.46
2017-07-18,0.0
2017-07-19,16501.03
2017-07-20,30647.2
2017-07-21,28913.5
2017-07-22,3050.8
2017-07-23,0.0
2017-07-24,15755.71
2017-07-25,6749.91
2017-07-26,35545.21
2017-07-27,27307.129999999997
2017-07-28,26020.47
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,50000.0
2017-08-01,0.0
2017-08-02,237229.32
2017-08-03,3272.8
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,54123.979999999996
2017-08-08,135148.83
2017-08-09,14384.0
2017-08-10,30914.0
2017-08-11,22691.35
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,85560.78
2017-08-15,53922.49
2017-08-16,17006.0
2017-08-17,22355.0
2017-08-18,2262.0
2017-08-19,20320.0
2017-08-20,0.0
2017-08-21,14036.0
2017-08-22,301827.36
2017-08-23,0.0
2017-08-24,32122.98
2017-08-25,247205.28
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,18792.0
2017-08-29,15591.99
2017-08-30,4989.19
2017-08-31,45706.979999999996
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,61440.46
2017-09-05,260723.3
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,31668.07
2017-09-13,21654.35
2017-09-14,0.0
2017-09-15,24458.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,21157.24
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,24513.12
2017-09-22,1948.8
2017-09-23,2711.5
2017-09-24,0.0
2017-09-25,17652.67
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,17632.0
2017-09-29,158008.72999999998
