Fecha,Concepto,Cargos
03/01/22,FAC Servicio SIN PAGO,1756.56
03/01/22,FAC Servicio SIN PAGO,6090
06/01/22,FAC Servicio SIN PAGO,6338.32
06/01/22,FAC Servicio PAGADA,54636
06/01/22,FAC Servicio SIN PAGO,5451.93
06/01/22,FAC Servicio PAGADA,6338.32
08/01/22,FAC Servicio SIN PAGO,85000
10/01/22,FAC Servicio SIN PAGO,530
10/01/22,FAC Servicio SIN PAGO,4129.6
10/01/22,FAC Servicio SIN PAGO,530
10/01/22,FAC Servicio SIN PAGO,5162
10/01/22,FAC Servicio SIN PAGO,8932
10/01/22,FAC Servicio SIN PAGO,13333.62
10/01/22,FAC Servicio SIN PAGO,6496
10/01/22,FAC Servicio PAGADA,37037.41
10/01/22,FAC Servicio SIN PAGO,693.68
10/01/22,FAC Servicio SIN PAGO,1682.19
10/01/22,FAC Servicio SIN PAGO,3619.9
10/01/22,FAC Servicio SIN PAGO,693.68
10/01/22,FAC Servicio SIN PAGO,59160
10/01/22,FAC Servicio SIN PAGO,3619.9
11/01/22,FAC Servicio SIN PAGO,34492.6
11/01/22,FAC Servicio PAGADA,29942.62
11/01/22,FAC Servicio SIN PAGO,779.58
11/01/22,FAC Servicio SIN PAGO,5125.34
11/01/22,FAC Servicio SIN PAGO,24924.41
11/01/22,FAC Servicio SIN PAGO,3248
11/01/22,FAC Servicio SIN PAGO,17639.71
11/01/22,FAC Servicio SIN PAGO,4445.82
11/01/22,FAC Servicio SIN PAGO,4445.82
11/01/22,FAC Servicio SIN PAGO,742.28
11/01/22,FAC Servicio SIN PAGO,46168
11/01/22,FAC Servicio SIN PAGO,6205.19
11/01/22,FAC Servicio SIN PAGO,5125.34
11/01/22,FAC Servicio SIN PAGO,3447.69
11/01/22,FAC Servicio SIN PAGO,1851.36
11/01/22,FAC Servicio SIN PAGO,16882.78
11/01/22,FAC Servicio SIN PAGO,3986.39
11/01/22,FAC Servicio SIN PAGO,25573.82
11/01/22,FAC Servicio SIN PAGO,6804.4
11/01/22,FAC Servicio PAGADA,7284.34
11/01/22,FAC Servicio SIN PAGO,2905.9
11/01/22,FAC Servicio SIN PAGO,1438.4
11/01/22,FAC Servicio SIN PAGO,3828
11/01/22,FAC Servicio SIN PAGO,15208.59
11/01/22,FAC Servicio SIN PAGO,10266
11/01/22,FAC Servicio SIN PAGO,22712.41
11/01/22,FAC Servicio SIN PAGO,44073.5
12/01/22,FAC Servicio SIN PAGO,58464
12/01/22,FAC Servicio SIN PAGO,3640
12/01/22,FAC Servicio SIN PAGO,21217.11
12/01/22,FAC Servicio SIN PAGO,59798
12/01/22,FAC Servicio SIN PAGO,23826.4
12/01/22,FAC Servicio SIN PAGO,2563.6
12/01/22,FAC Servicio SIN PAGO,8823.74
12/01/22,FAC Servicio SIN PAGO,9249.07
12/01/22,FAC Servicio SIN PAGO,7308
12/01/22,FAC Servicio SIN PAGO,45275.96
12/01/22,FAC Servicio SIN PAGO,102825.95
12/01/22,FAC Servicio SIN PAGO,5361.38
12/01/22,FAC Servicio SIN PAGO,23954
12/01/22,FAC Servicio SIN PAGO,18009
12/01/22,FAC Servicio SIN PAGO,32248
12/01/22,FAC Servicio SIN PAGO,23240.6
12/01/22,FAC Servicio SIN PAGO,68131.15
12/01/22,FAC Servicio SIN PAGO,3949.1
12/01/22,FAC Servicio SIN PAGO,112520
13/01/22,FAC Ventas SIN PAGO,6166.37
13/01/22,FAC Servicio SIN PAGO,8120
13/01/22,FAC Servicio PAGADA,4640
14/01/22,FAC Servicio SIN PAGO,6470.02
14/01/22,FAC Servicio SIN PAGO,4847.27
14/01/22,FAC Servicio PAGADA,8033.28
15/01/22,FAC Servicio SIN PAGO,35418.95
17/01/22,FAC Servicio SIN PAGO,4814
17/01/22,FAC Servicio SIN PAGO,3422
17/01/22,FAC Servicio SIN PAGO,54636
17/01/22,FAC Servicio SIN PAGO,2838
17/01/22,FAC Servicio SIN PAGO,2838
17/01/22,FAC Servicio SIN PAGO,5452
17/01/22,FAC Ventas PAGADA,1269.04
18/01/22,FAC Servicio SIN PAGO,5684
18/01/22,FAC Ventas SIN PAGO,14604.4
18/01/22,FAC Servicio SIN PAGO,4242
18/01/22,FAC Servicio SIN PAGO,2923.32
18/01/22,FAC Servicio SIN PAGO,2923.32
18/01/22,FAC Servicio SIN PAGO,3705.5
18/01/22,FAC Servicio SIN PAGO,3705.5
18/01/22,FAC Servicio SIN PAGO,3705.5
18/01/22,FAC Ventas SIN PAGO,25866.84
19/01/22,FAC Servicio PAGADA,11020
19/01/22,FAC Servicio PAGADA,1695.92
19/01/22,FAC Servicio SIN PAGO,9270.84
20/01/22,FAC Servicio SIN PAGO,594065
20/01/22,FAC Servicio SIN PAGO,1594.03
20/01/22,FAC Servicio SIN PAGO,4000
20/01/22,FAC Servicio SIN PAGO,8293.68
20/01/22,FAC Servicio SIN PAGO,18729.15
20/01/22,FAC Servicio SIN PAGO,1624
20/01/22,FAC Servicio PAGADA,3520.11
21/01/22,FAC Servicio SIN PAGO,12126.76
21/01/22,FAC Servicio SIN PAGO,19325.6
21/01/22,FAC Servicio PAGADA,612.48
21/01/22,FAC Servicio SIN PAGO,39042.68
21/01/22,FAC Servicio SIN PAGO,13647.4
21/01/22,FAC Servicio SIN PAGO,6239.64
26/01/22,FAC Servicio PAGADA,8277.39
26/01/22,FAC Servicio PAGADA,3467.24
26/01/22,FAC Servicio SIN PAGO,7284.34
27/01/22,FAC Servicio PAGADA,200899.85
28/01/22,FAC Servicio PAGADA,5681.1
28/01/22,FAC Servicio SIN PAGO,2923.32
28/01/22,FAC Servicio PAGADA,8584
28/01/22,FAC Servicio SIN PAGO,7993.29
28/01/22,FAC Servicio SIN PAGO,3140
28/01/22,FAC Servicio PAGADA,5974
28/01/22,FAC Servicio SIN PAGO,6438
29/01/22,FAC Servicio SIN PAGO,6496
31/01/22,FAC Servicio SIN PAGO,15428
31/01/22,FAC Ventas PAGADA,11659.07
31/01/22,FAC Servicio SIN PAGO,2592.89
31/01/22,FAC Servicio PAGADA,4400.1
31/01/22,FAC Servicio PAGADA,718.81
31/01/22,FAC Servicio PAGADA,6299.99
31/01/22,FAC Servicio PAGADA,5040
31/01/22,FAC Ventas PAGADA,1269.04
31/01/22,FAC Ventas SIN PAGO,5783.62
31/01/22,FAC Servicio PAGADA,18888.63
31/01/22,FAC Servicio PAGADA,7704.74
31/01/22,FAC Servicio PAGADA,2041.6
31/01/22,FAC Servicio PAGADA,55256.58
31/01/22,FAC Servicio SIN PAGO,6299.99
02/02/22,FAC Ventas SIN PAGO,16061.15
02/02/22,FAC Servicio PAGADA,87000
03/02/22,FAC Ventas SIN PAGO,8280.08
03/02/22,FAC Servicio SIN PAGO,8033.28
03/02/22,FAC Ventas SIN PAGO,1633.28
04/02/22,FAC Servicio SIN PAGO,493.17
08/02/22,FAC Servicio SIN PAGO,12050
09/02/22,FAC Servicio SIN PAGO,7308
09/02/22,FAC Servicio SIN PAGO,6338.32
09/02/22,FAC Servicio SIN PAGO,12968.71
09/02/22,FAC Servicio SIN PAGO,8190.48
