Fecha,Concepto,Cargos
08/01/24,FAC Servicio SIN PAGO,229143.36
08/01/24,FAC Servicio SIN PAGO,229143.36
08/01/24,FAC Servicio SIN PAGO,229143.36
08/01/24,FAC Servicio SIN PAGO,926808.83
08/01/24,FAC Servicio SIN PAGO,247149.02
09/01/24,FAC Servicio PAGADA,4640
09/01/24,FAC Ventas PAGADA,3619.2
09/01/24,FAC Servicio PAGADA,4684.95
09/01/24,FAC Servicio PAGADA,18560
09/01/24,FAC Servicio PAGADA,291740
09/01/24,FAC Servicio SIN PAGO,13195
10/01/24,FAC Servicio SIN PAGO,24518
10/01/24,FAC Servicio SIN PAGO,93952.01
10/01/24,FAC Servicio SIN PAGO,40426
10/01/24,FAC Servicio SIN PAGO,5774.25
10/01/24,FAC Servicio SIN PAGO,24534
10/01/24,FAC Servicio SIN PAGO,6382.9
10/01/24,FAC Servicio SIN PAGO,11022.9
10/01/24,FAC Servicio SIN PAGO,22883
10/01/24,FAC Servicio PAGADA,11948
10/01/24,FAC Servicio SIN PAGO,6382.9
10/01/24,FAC Servicio SIN PAGO,24518
10/01/24,FAC Servicio SIN PAGO,29157.3
11/01/24,FAC Servicio PAGADA,9570
11/01/24,FAC Ventas PAGADA,6902
11/01/24,FAC Servicio PAGADA,12974.99
11/01/24,FAC Servicio PAGADA,3483.48
11/01/24,FAC Ventas SIN PAGO,12580.2
12/01/24,FAC Servicio PAGADA,3103
12/01/24,FAC Servicio SIN PAGO,2310.02
12/01/24,FAC Servicio PAGADA,3422
12/01/24,FAC Servicio PAGADA,188094
12/01/24,FAC Servicio SIN PAGO,67802
12/01/24,FAC Servicio PAGADA,417.6
12/01/24,FAC Servicio PAGADA,5488.83
15/01/24,FAC Servicio PAGADA,15138
15/01/24,FAC Servicio PAGADA,6402.04
17/01/24,FAC Servicio PAGADA,5104
17/01/24,FAC Servicio PAGADA,2610
17/01/24,FAC Servicio SIN PAGO,16901.2
17/01/24,FAC Servicio SIN PAGO,4495
17/01/24,FAC Servicio SIN PAGO,5394
17/01/24,FAC Servicio SIN PAGO,4071.6
17/01/24,FAC Servicio SIN PAGO,2360.6
17/01/24,FAC Servicio SIN PAGO,21396.2
17/01/24,FAC Servicio PAGADA,9651.2
17/01/24,FAC Servicio SIN PAGO,10545.56
17/01/24,FAC Servicio SIN PAGO,41586
18/01/24,FAC Servicio SIN PAGO,8062
18/01/24,FAC Servicio SIN PAGO,14732
18/01/24,FAC Servicio SIN PAGO,20358
18/01/24,FAC Servicio SIN PAGO,29087
18/01/24,FAC Servicio PAGADA,5655.34
19/01/24,FAC Servicio SIN PAGO,8688.4
19/01/24,FAC Servicio PAGADA,6496
19/01/24,FAC Ventas SIN PAGO,2516.04
19/01/24,FAC Servicio PAGADA,6844
19/01/24,FAC Servicio SIN PAGO,1981.47
19/01/24,FAC Servicio SIN PAGO,10545.56
19/01/24,FAC Servicio PAGADA,5340.64
19/01/24,FAC Servicio SIN PAGO,36540
19/01/24,FAC Servicio SIN PAGO,2336.6
22/01/24,FAC Servicio SIN PAGO,3857
22/01/24,FAC Servicio SIN PAGO,3857
22/01/24,FAC Servicio SIN PAGO,3857
22/01/24,FAC Servicio SIN PAGO,1740
23/01/24,FAC Servicio PAGADA,2167
23/01/24,FAC Servicio PAGADA,37970.57
23/01/24,FAC Servicio SIN PAGO,25386.16
24/01/24,FAC Servicio SIN PAGO,10868.85
24/01/24,FAC Servicio SIN PAGO,54881.6
24/01/24,FAC Servicio SIN PAGO,915.84
24/01/24,FAC Servicio SIN PAGO,15299.55
24/01/24,FAC Servicio SIN PAGO,7691.96
24/01/24,FAC Servicio SIN PAGO,9648.72
24/01/24,FAC Servicio SIN PAGO,63733.07
24/01/24,FAC Servicio SIN PAGO,15651.76
24/01/24,FAC Servicio SIN PAGO,1476.34
24/01/24,FAC Servicio SIN PAGO,10833.25
24/01/24,FAC Servicio SIN PAGO,10632.37
24/01/24,FAC Servicio SIN PAGO,23492.09
25/01/24,FAC Servicio PAGADA,1710.77
