Fecha,Concepto,Cargos
01/01/2021,CARGO POR AJUSTE DE SALDO,15658.5
13/01/2021,FAC Servicio PAGADA,5336.0
14/01/2021,FAC Servicio PAGADA,11136.0
14/01/2021,FAC Servicio PAGADA,6501.15
14/01/2021,FAC Servicio PAGADA,3886.0
14/01/2021,FAC Servicio PAGADA,592.09
14/01/2021,FAC Servicio SIN PAGO,6670.0
14/01/2021,FAC Servicio PAGADA,4524.0
14/01/2021,FAC Servicio SIN PAGO,11652.2
15/01/2021,FAC Servicio PAGADA,5867.0
15/01/2021,FAC Servicio SIN PAGO,3735.2
15/01/2021,FAC Servicio SIN PAGO,5220.0
15/01/2021,FAC Servicio SIN PAGO,6890.4
15/01/2021,FAC Servicio SIN PAGO,34916.0
15/01/2021,FAC Servicio SIN PAGO,27143.58
15/01/2021,FAC Servicio SIN PAGO,43267.25
16/01/2021,FAC Servicio SIN PAGO,2534.6
16/01/2021,FAC Servicio SIN PAGO,7192.0
16/01/2021,FAC Servicio SIN PAGO,1902.28
16/01/2021,FAC Servicio PAGADA,1952.0
18/01/2021,FAC Servicio SIN PAGO,5545.96
18/01/2021,FAC Servicio SIN PAGO,5545.96
18/01/2021,FAC Servicio SIN PAGO,7356.72
18/01/2021,FAC Servicio PAGADA,7021.86
19/01/2021,FAC Servicio SIN PAGO,28710.0
19/01/2021,FAC Servicio SIN PAGO,4872.0
20/01/2021,FAC Servicio PAGADA,24292.72
20/01/2021,FAC Ventas PAGADA,1763.2
20/01/2021,FAC Servicio SIN PAGO,79993.6
21/01/2021,FAC Servicio SIN PAGO,98716.0
21/01/2021,FAC Servicio SIN PAGO,82263.34
21/01/2021,FAC Servicio SIN PAGO,1286.13
21/01/2021,FAC Servicio SIN PAGO,975.62
21/01/2021,FAC Servicio SIN PAGO,6689.72
21/01/2021,FAC Servicio SIN PAGO,9256.8
21/01/2021,FAC Servicio SIN PAGO,37514.4
21/01/2021,FAC Servicio SIN PAGO,9256.8
21/01/2021,FAC Servicio SIN PAGO,10950.4
21/01/2021,FAC Servicio SIN PAGO,13456.0
22/01/2021,FAC Servicio SIN PAGO,35100.56
22/01/2021,FAC Servicio SIN PAGO,33802.03
22/01/2021,FAC Servicio SIN PAGO,71785.87
22/01/2021,FAC Servicio SIN PAGO,663.0
22/01/2021,FAC Servicio SIN PAGO,5228.35
22/01/2021,FAC Servicio SIN PAGO,1902.28
22/01/2021,FAC Servicio SIN PAGO,4196.88
22/01/2021,FAC Servicio SIN PAGO,3364.0
22/01/2021,FAC Servicio SIN PAGO,3364.0
23/01/2021,FAC Servicio SIN PAGO,13176.44
23/01/2021,FAC Servicio SIN PAGO,13176.44
23/01/2021,FAC Servicio PAGADA,6754.68
23/01/2021,FAC Servicio SIN PAGO,8788.16
23/01/2021,FAC Servicio PAGADA,9233.6
23/01/2021,FAC Servicio PAGADA,1334.0
26/01/2021,FAC Servicio PAGADA,12311.66
26/01/2021,FAC Servicio SIN PAGO,42572.0
26/01/2021,FAC Servicio PAGADA,10150.0
27/01/2021,FAC Servicio PAGADA,19591.24
28/01/2021,FAC Servicio PAGADA,986.0
28/01/2021,FAC Servicio PAGADA,5104.0
29/01/2021,FAC Servicio PAGADA,4364.18
30/01/2021,FAC Servicio PAGADA,1508.0
30/01/2021,FAC Servicio PAGADA,1000.0
30/01/2021,FAC Servicio PAGADA,9819.4
30/01/2021,FAC Servicio PAGADA,14755.95
09/02/2021,FAC Servicio SIN PAGO,3562.0
09/02/2021,FAC Servicio SIN PAGO,3705.5
09/02/2021,FAC Servicio SIN PAGO,21750.0
09/02/2021,FAC Servicio SIN PAGO,3705.5
09/02/2021,FAC Servicio SIN PAGO,7680.0
09/02/2021,FAC Servicio SIN PAGO,3562.0
09/02/2021,FAC Servicio SIN PAGO,3562.0
09/02/2021,FAC Servicio SIN PAGO,21750.0
09/02/2021,FAC Servicio SIN PAGO,8932.0
10/02/2021,FAC Servicio SIN PAGO,8700.0
10/02/2021,FAC Servicio SIN PAGO,8700.0
10/02/2021,FAC Servicio SIN PAGO,2920.14
10/02/2021,FAC Servicio SIN PAGO,3317.83
10/02/2021,FAC Servicio SIN PAGO,15037.08
10/02/2021,FAC Servicio SIN PAGO,6681.6
11/02/2021,FAC Servicio PAGADA,1696.0
11/02/2021,FAC Servicio SIN PAGO,6277.27
11/02/2021,FAC Servicio SIN PAGO,3662.33
11/02/2021,FAC Servicio SIN PAGO,7616.3
11/02/2021,FAC Servicio PAGADA,6097.54
11/02/2021,FAC Servicio SIN PAGO,3306.0
11/02/2021,FAC Servicio PAGADA,5974.0
11/02/2021,FAC Ventas PAGADA,3770.81
12/02/2021,FAC Servicio PAGADA,26552.4
12/02/2021,FAC Servicio PAGADA,14790.0
12/02/2021,FAC Servicio SIN PAGO,19256.0
15/02/2021,FAC Servicio SIN PAGO,6240.8
15/02/2021,FAC Servicio PAGADA,6094.64
15/02/2021,FAC Servicio SIN PAGO,21261.0
15/02/2021,FAC Servicio SIN PAGO,88160.0
15/02/2021,FAC Servicio PAGADA,5109.15
15/02/2021,FAC Servicio SIN PAGO,7356.72
16/02/2021,FAC Servicio SIN PAGO,2534.6
16/02/2021,FAC Servicio SIN PAGO,7151.4
16/02/2021,FAC Servicio SIN PAGO,7946.0
16/02/2021,FAC Servicio SIN PAGO,12311.66
16/02/2021,FAC Servicio SIN PAGO,7957.6
16/02/2021,FAC Servicio SIN PAGO,40321.6
16/02/2021,FAC Servicio PAGADA,592.09
16/02/2021,FAC Servicio PAGADA,1801.22
16/02/2021,FAC Servicio PAGADA,9919.29
16/02/2021,FAC Servicio SIN PAGO,5440.4
17/02/2021,FAC Ventas SIN PAGO,3594.84
17/02/2021,FAC Servicio PAGADA,6658.4
18/02/2021,FAC Servicio SIN PAGO,8784.3
18/02/2021,FAC Servicio SIN PAGO,21261.0
18/02/2021,FAC Servicio SIN PAGO,21261.0
18/02/2021,FAC Servicio SIN PAGO,21261.0
19/02/2021,FAC Servicio SIN PAGO,43801.6
19/02/2021,FAC Servicio PAGADA,646.0
20/02/2021,FAC Servicio SIN PAGO,4196.88
20/02/2021,FAC Servicio PAGADA,556.8
20/02/2021,FAC Servicio PAGADA,1300.74
20/02/2021,FAC Servicio PAGADA,13975.68
20/02/2021,FAC Servicio PAGADA,10226.0
20/02/2021,FAC Servicio SIN PAGO,43267.25
22/02/2021,FAC Servicio SIN PAGO,6084.2
