Fecha,Concepto,Cargos
01/01/18,FAC Ventas SIN PAGO,0
12/01/18,FAC Servicio SIN PAGO,1218
12/01/18,FAC Servicio SIN PAGO,2286.36
15/01/18,FAC Servicio SIN PAGO,257.78
15/01/18,FAC Servicio PAGADA,7099.2
15/01/18,FAC Servicio PAGADA,1275.99
15/01/18,FAC Servicio SIN PAGO,4391.64
15/01/18,FAC Servicio SIN PAGO,4250.12
15/01/18,FAC Servicio SIN PAGO,4391.64
15/01/18,FAC Servicio SIN PAGO,4108.31
15/01/18,FAC Servicio SIN PAGO,1948.8
15/01/18,FAC Servicio PAGADA,6941.63
15/01/18,FAC Servicio SIN PAGO,65564
15/01/18,FAC Servicio SIN PAGO,2360.5
15/01/18,FAC Servicio SIN PAGO,429850.01
15/01/18,FAC Servicio SIN PAGO,35620
15/01/18,FAC Servicio PAGADA,2320
15/01/18,FAC Servicio SIN PAGO,2320
15/01/18,FAC Servicio SIN PAGO,8676.02
15/01/18,FAC Servicio PAGADA,1005.37
15/01/18,FAC Servicio SIN PAGO,1200
15/01/18,FAC Servicio SIN PAGO,19794.24
15/01/18,FAC Ventas SIN PAGO,365.4
16/01/18,FAC Servicio SIN PAGO,710.49
16/01/18,FAC Servicio PAGADA,7279.12
16/01/18,FAC Servicio SIN PAGO,1218
16/01/18,FAC Ventas PAGADA,698.32
16/01/18,FAC Servicio SIN PAGO,25404
16/01/18,FAC Servicio PAGADA,1566
16/01/18,FAC Ventas SIN PAGO,100
17/01/18,FAC Servicio PAGADA,154650.84
18/01/18,FAC Servicio PAGADA,9512
18/01/18,FAC Servicio PAGADA,1771.9
22/01/18,FAC Servicio SIN PAGO,16269.14
23/01/18,FAC Servicio PAGADA,17661
23/01/18,FAC Servicio SIN PAGO,19000
24/01/18,FAC Servicio PAGADA,3612.94
24/01/18,FAC Servicio PAGADA,62454.4
24/01/18,FAC Servicio SIN PAGO,2062.9
24/01/18,FAC Servicio SIN PAGO,2923.2
24/01/18,FAC Servicio SIN PAGO,2642.9
24/01/18,FAC Servicio SIN PAGO,2285.5
26/01/18,FAC Servicio SIN PAGO,1245.84
26/01/18,FAC Servicio SIN PAGO,29997.6
26/01/18,FAC Servicio SIN PAGO,10006
26/01/18,FAC Servicio SIN PAGO,10006
26/01/18,FAC Servicio SIN PAGO,1245.84
