Fecha,Concepto,Cargos
09/01/20,FAC Servicio PAGADA,66236
09/01/20,FAC Servicio PAGADA,45223.38
09/01/20,FAC Servicio PAGADA,126486.4
09/01/20,FAC Servicio PAGADA,18121.04
10/01/20,FAC Servicio PAGADA,10150
10/01/20,FAC Servicio PAGADA,124321.84
10/01/20,FAC Servicio PAGADA,5699.89
10/01/20,FAC Servicio PAGADA,5512.32
10/01/20,FAC Servicio SIN PAGO,24684.8
10/01/20,FAC Servicio SIN PAGO,73388.6
10/01/20,FAC Servicio SIN PAGO,20109.76
10/01/20,FAC Servicio PAGADA,158643.57
13/01/20,FAC Servicio SIN PAGO,2504.67
13/01/20,FAC Servicio SIN PAGO,2170.55
13/01/20,FAC Servicio SIN PAGO,6833.73
13/01/20,FAC Servicio SIN PAGO,14245.73
13/01/20,FAC Servicio PAGADA,10750
13/01/20,FAC Servicio SIN PAGO,29195.56
13/01/20,FAC Servicio SIN PAGO,24602.9
13/01/20,FAC Servicio PAGADA,4447.99
14/01/20,FAC Servicio SIN PAGO,28139.28
14/01/20,FAC Servicio SIN PAGO,15080
14/01/20,FAC Servicio SIN PAGO,2131.26
14/01/20,FAC Servicio PAGADA,8468
15/01/20,FAC Servicio PAGADA,6160.01
15/01/20,FAC Servicio PAGADA,5672.4
15/01/20,FAC Servicio SIN PAGO,2814.62
15/01/20,FAC Servicio SIN PAGO,4763.42
15/01/20,FAC Servicio PAGADA,6387.19
15/01/20,FAC Servicio PAGADA,1890.95
15/01/20,FAC Servicio SIN PAGO,67976
15/01/20,FAC Servicio PAGADA,10870.36
16/01/20,FAC Servicio SIN PAGO,58696.46
17/01/20,FAC Servicio SIN PAGO,11516.02
17/01/20,FAC Servicio PAGADA,32797.96
17/01/20,FAC Servicio PAGADA,2726
17/01/20,FAC Servicio PAGADA,8408.96
17/01/20,FAC Servicio PAGADA,3317.6
17/01/20,FAC Servicio SIN PAGO,20184
17/01/20,FAC Servicio SIN PAGO,24633.76
20/01/20,FAC Servicio SIN PAGO,3156.49
20/01/20,FAC Servicio SIN PAGO,11600
20/01/20,FAC Servicio SIN PAGO,4872
20/01/20,FAC Servicio SIN PAGO,5858
